UID,Block,Row,Pot,Population,Microbiome,Nitrogen,Replicate,Aboveground_Biomass,Belowground_Biomass
88,6,6,14,P14,Nonlocal_U,Ambient_N,5,0.1077,0.0735
89,8,3,9,P14,Nonlocal_U,Ambient_N,6,0.0369,0.0256
90,9,2,16,P14,Nonlocal_U,Ambient_N,1,0.0425,0.0443
91,2,6,19,P14,Nonlocal_U,N_Addition,2,0.0729,0.0633
92,4,2,20,P14,Nonlocal_U,N_Addition,3,NA,NA
93,4,6,5,P14,Nonlocal_U,N_Addition,4,0.1535,0.0572
94,5,5,1,P14,Nonlocal_U,N_Addition,5,0.1865,0.1342
95,8,2,4,P14,Nonlocal_U,N_Addition,6,0.1456,0.0872
96,9,1,3,P14,Nonlocal_U,N_Addition,1,NA,NA
97,3,3,4,P14,Local,Ambient_N,1,NA,NA
98,3,4,17,P14,Local,Ambient_N,2,0.0197,0.0133
99,4,4,6,P14,Local,Ambient_N,3,NA,NA
100,7,1,10,P14,Local,Ambient_N,4,NA,NA
101,7,6,15,P14,Local,Ambient_N,5,0.0095,0.0088
102,8,6,2,P14,Local,Ambient_N,6,NA,NA
103,1,1,1,P14,Local,N_Addition,2,0.1189,0.1021
104,1,6,7,P14,Local,N_Addition,3,NA,NA
105,3,5,14,P14,Local,N_Addition,4,NA,NA
106,4,1,5,P14,Local,N_Addition,5,NA,NA
107,5,5,5,P14,Local,N_Addition,6,NA,NA
108,9,3,3,P14,Local,N_Addition,1,0.0698,0.0606
109,2,4,9,P15,Nonlocal_R,Ambient_N,3,0.0169,0.0153
110,3,6,8,P15,Nonlocal_R,Ambient_N,4,0.0145,0.0101
111,4,4,14,P15,Nonlocal_R,Ambient_N,6,0.0117,0.0086
112,4,4,16,P15,Nonlocal_R,Ambient_N,5,0.0531,0.0521
113,9,5,15,P15,Nonlocal_R,Ambient_N,1,0.3279,0.2040
114,9,6,8,P15,Nonlocal_R,Ambient_N,2,0.0663,0.0548
115,2,5,4,P15,Nonlocal_R,N_Addition,1,0.1236,0.0687
116,3,5,12,P15,Nonlocal_R,N_Addition,2,0.0333,0.0192
117,6,2,1,P15,Nonlocal_R,N_Addition,3,0.0761,0.0893
118,8,1,9,P15,Nonlocal_R,N_Addition,4,0.1338,0.0881
119,8,3,8,P15,Nonlocal_R,N_Addition,5,0.2531,0.2031
120,8,4,16,P15,Nonlocal_R,N_Addition,6,0.1294,0.0809
121,1,6,16,P15,Nonlocal_U,Ambient_N,2,0.0100,0.0036
122,4,6,6,P15,Nonlocal_U,Ambient_N,3,0.0172,0.0141
123,5,1,12,P15,Nonlocal_U,Ambient_N,4,0.0157,0.0104
124,6,3,20,P15,Nonlocal_U,Ambient_N,2,NA,NA
125,7,2,8,P15,Nonlocal_U,Ambient_N,6,0.0113,0.0050
126,9,1,2,P15,Nonlocal_U,Ambient_N,1,0.0503,0.0450
127,1,1,12,P15,Nonlocal_U,N_Addition,1,0.0245,0.0557
128,2,1,4,P15,Nonlocal_U,N_Addition,2,0.0163,0.0273
129,2,3,3,P15,Nonlocal_U,N_Addition,3,NA,NA
130,3,3,17,P15,Nonlocal_U,N_Addition,4,0.0251,0.0371
131,6,4,10,P15,Nonlocal_U,N_Addition,5,0.1236,0.1130
132,7,4,10,P15,Nonlocal_U,N_Addition,6,0.0574,0.0426
133,1,3,7,P15,Local,Ambient_N,1,0.0033,0.0210
134,1,4,15,P15,Local,Ambient_N,2,0.1319,0.0408
135,3,1,1,P15,Local,Ambient_N,3,0.0671,0.0383
136,4,1,20,P15,Local,Ambient_N,4,0.3048,0.1408
137,5,1,19,P15,Local,Ambient_N,5,0.0650,0.0407
138,5,6,18,P15,Local,Ambient_N,6,0.3427,0.2058
139,5,3,3,P15,Local,N_Addition,2,0.0422,0.0087
140,6,2,15,P15,Local,N_Addition,3,0.3741,0.1154
141,7,2,4,P15,Local,N_Addition,4,0.1854,0.0878
142,7,6,7,P15,Local,N_Addition,5,0.3501,0.1998
143,8,3,19,P15,Local,N_Addition,6,0.3041,0.1535
144,9,4,7,P15,Local,N_Addition,1,NA,NA
145,1,4,5,P16,Nonlocal_R,Ambient_N,1,0.0172,0.0176
146,2,2,20,P16,Nonlocal_R,Ambient_N,2,0.0261,0.0442
147,2,6,18,P16,Nonlocal_R,Ambient_N,3,0.0994,0.1073
148,3,2,13,P16,Nonlocal_R,Ambient_N,4,0.0438,0.0496
149,4,2,9,P16,Nonlocal_R,Ambient_N,5,0.0934,0.0513
150,8,4,11,P16,Nonlocal_R,Ambient_N,6,0.0651,0.0711
151,2,4,15,P16,Nonlocal_R,N_Addition,1,0.0595,0.0368
152,3,6,18,P16,Nonlocal_R,N_Addition,2,0.0720,0.0653
153,4,4,10,P16,Nonlocal_R,N_Addition,3,0.3584,0.3621
154,5,2,11,P16,Nonlocal_R,N_Addition,4,0.0466,0.0739
155,6,4,18,P16,Nonlocal_R,N_Addition,5,0.1418,0.1233
156,7,6,20,P16,Nonlocal_R,N_Addition,6,0.6446,0.2455
157,2,2,17,P16,Nonlocal_U,Ambient_N,2,0.2322,0.0880
158,3,2,1,P16,Nonlocal_U,Ambient_N,3,0.0555,0.0516
159,5,1,1,P16,Nonlocal_U,Ambient_N,4,NA,NA
160,5,3,13,P16,Nonlocal_U,Ambient_N,5,0.0886,0.0737
161,7,5,14,P16,Nonlocal_U,Ambient_N,6,0.0202,0.0402
162,9,4,1,P16,Nonlocal_U,Ambient_N,1,0.0273,0.0344
163,3,5,1,P16,Nonlocal_U,N_Addition,1,0.0525,0.0763
164,4,4,11,P16,Nonlocal_U,N_Addition,2,0.2055,0.1247
165,6,2,17,P16,Nonlocal_U,N_Addition,3,NA,NA
166,6,4,6,P16,Nonlocal_U,N_Addition,4,0.0592,0.0710
167,7,6,13,P16,Nonlocal_U,N_Addition,5,0.2168,0.1893
168,8,5,3,P16,Nonlocal_U,N_Addition,6,NA,NA
169,1,4,14,P16,Local,Ambient_N,4,0.0596,0.0349
170,5,6,13,P16,Local,Ambient_N,5,0.1355,0.0968
171,8,4,8,P16,Local,Ambient_N,6,0.0219,0.0318
172,9,1,5,P16,Local,Ambient_N,1,0.0096,0.0153
173,9,3,11,P16,Local,Ambient_N,2,0.0481,0.0840
174,9,4,5,P16,Local,Ambient_N,3,0.0372,0.0321
175,1,4,2,P16,Local,N_Addition,1,0.0457,0.0908
176,1,6,18,P16,Local,N_Addition,2,0.2475,0.2885
177,4,1,2,P16,Local,N_Addition,3,0.0772,0.0749
178,6,6,16,P16,Local,N_Addition,4,0.3160,0.2584
179,7,3,18,P16,Local,N_Addition,5,0.0130,0.0138
180,8,1,6,P16,Local,N_Addition,6,0.0626,0.1141
181,1,5,6,P18,Nonlocal_R,Ambient_N,1,0.0600,0.0748
182,6,1,8,P18,Nonlocal_R,Ambient_N,5,0.0750,0.0422
183,6,5,9,P18,Nonlocal_R,Ambient_N,3,0.0408,0.0332
184,6,5,17,P18,Nonlocal_R,Ambient_N,4,0.0879,0.0544
185,8,2,9,P18,Nonlocal_R,Ambient_N,2,0.0772,0.0317
186,9,5,17,P18,Nonlocal_R,Ambient_N,6,NA,NA
187,2,1,11,P18,Nonlocal_R,N_Addition,1,0.0673,0.0672
188,2,3,20,P18,Nonlocal_R,N_Addition,2,0.1884,0.1750
189,5,1,11,P18,Nonlocal_R,N_Addition,3,0.1589,0.1042
190,5,4,20,P18,Nonlocal_R,N_Addition,4,0.2523,0.1351
191,7,1,7,P18,Nonlocal_R,N_Addition,5,0.0972,0.0883
192,7,2,2,P18,Nonlocal_R,N_Addition,6,0.0639,0.0877
193,1,4,10,P18,Nonlocal_U,Ambient_N,1,0.0043,0.0052
194,1,5,2,P18,Nonlocal_U,Ambient_N,2,0.0212,0.0234
195,3,4,11,P18,Nonlocal_U,Ambient_N,3,0.0266,0.0175
196,3,4,12,P18,Nonlocal_U,Ambient_N,4,0.0494,0.0257
197,4,2,12,P18,Nonlocal_U,Ambient_N,5,0.0293,0.0301
198,9,2,7,P18,Nonlocal_U,Ambient_N,6,NA,NA
199,1,4,4,P18,Nonlocal_U,N_Addition,1,0.0667,0.0505
200,3,1,4,P18,Nonlocal_U,N_Addition,2,0.0286,0.0249
201,4,1,16,P18,Nonlocal_U,N_Addition,3,0.0484,0.0425
202,4,5,19,P18,Nonlocal_U,N_Addition,4,0.1962,0.1356
203,5,3,12,P18,Nonlocal_U,N_Addition,5,0.0701,0.0675
204,8,6,7,P18,Nonlocal_U,N_Addition,6,NA,NA
205,2,4,8,P18,Local,Ambient_N,1,0.0290,0.0216
206,4,3,13,P18,Local,Ambient_N,2,0.0903,0.0833
207,6,4,11,P18,Local,Ambient_N,3,0.000,0.000
208,7,1,17,P18,Local,Ambient_N,4,0.0225,0.0281
209,7,3,9,P18,Local,Ambient_N,5,0.0310,0.0456
210,8,1,17,P18,Local,Ambient_N,6,0.2482,0.1325
211,2,4,4,P18,Local,N_Addition,1,0.1321,0.1312
212,3,4,7,P18,Local,N_Addition,2,0.3661,0.1302
213,5,1,18,P18,Local,N_Addition,3,NA,NA
214,8,4,20,P18,Local,N_Addition,4,0.1554,0.0725
215,9,1,12,P18,Local,N_Addition,5,0.1278,0.1162
216,9,2,13,P18,Local,N_Addition,6,0.1700,0.1495
217,2,3,19,P20,Nonlocal_R,Ambient_N,1,0.0271,0.0228
218,3,3,19,P20,Nonlocal_R,Ambient_N,2,0.0423,0.0554
219,7,1,11,P20,Nonlocal_R,Ambient_N,3,0.1307,0.0852
220,8,5,5,P20,Nonlocal_R,Ambient_N,4,0.0048,0.0036
221,9,1,17,P20,Nonlocal_R,Ambient_N,5,NA,NA
222,9,3,18,P20,Nonlocal_R,Ambient_N,6,NA,NA
223,1,5,3,P20,Nonlocal_R,N_Addition,1,NA,NA
224,3,6,15,P20,Nonlocal_R,N_Addition,2,0.3502,0.1103
225,6,2,7,P20,Nonlocal_R,N_Addition,3,0.2301,0.0903
226,6,6,2,P20,Nonlocal_R,N_Addition,4,0.5181,0.2020
227,7,3,12,P20,Nonlocal_R,N_Addition,5,0.1126,0.0785
228,8,1,8,P20,Nonlocal_R,N_Addition,6,NA,NA
229,2,2,5,P20,Nonlocal_U,Ambient_N,1,0.0076,0.0077
230,2,4,17,P20,Nonlocal_U,Ambient_N,2,0.0465,0.0675
231,5,4,1,P20,Nonlocal_U,Ambient_N,3,0.0236,0.0253
232,6,1,10,P20,Nonlocal_U,Ambient_N,4,0.0153,0.0133
233,6,6,6,P20,Nonlocal_U,Ambient_N,5,0.0207,0.0799
234,8,2,7,P20,Nonlocal_U,Ambient_N,6,0.0206,0.0287
235,1,2,17,P20,Nonlocal_U,N_Addition,1,0.2764,0.6073
236,1,5,4,P20,Nonlocal_U,N_Addition,2,0.0415,0.1355
237,5,4,18,P20,Nonlocal_U,N_Addition,6,0.0356,0.0638
238,5,5,20,P20,Nonlocal_U,N_Addition,3,0.3718,0.1763
239,7,3,11,P20,Nonlocal_U,N_Addition,5,0.0348,0.0474
240,8,6,15,P20,Nonlocal_U,N_Addition,4,0.0885,0.1861
241,2,2,19,P20,Local,Ambient_N,1,NA,NA
242,4,1,7,P20,Local,Ambient_N,2,0.0901,0.0730
243,5,4,12,P20,Local,Ambient_N,3,0.0864,0.0736
244,7,6,16,P20,Local,Ambient_N,4,0.0771,0.0518
245,9,3,2,P20,Local,Ambient_N,5,0.0927,0.0915
246,9,5,19,P20,Local,Ambient_N,6,0.0525,0.0541
247,1,4,11,P20,Local,N_Addition,1,0.0915,0.0729
248,3,4,6,P20,Local,N_Addition,2,0.2121,0.0825
249,3,5,16,P20,Local,N_Addition,3,0.1156,0.1012
250,4,1,14,P20,Local,N_Addition,4,0.2084,0.1335
251,4,3,15,P20,Local,N_Addition,5,0.3406,0.1626
252,4,4,17,P20,Local,N_Addition,6,0.4327,0.2181
253,1,1,3,P21,Nonlocal_R,Ambient_N,1,NA,NA
254,4,6,9,P21,Nonlocal_R,Ambient_N,2,0.0617,0.0455
255,6,1,15,P21,Nonlocal_R,Ambient_N,3,0.0657,0.1419
256,6,3,13,P21,Nonlocal_R,Ambient_N,4,0.0677,0.0445
257,7,2,13,P21,Nonlocal_R,Ambient_N,5,0.1289,0.1341
258,8,5,19,P21,Nonlocal_R,Ambient_N,6,0.0904,0.0763
259,1,3,2,P21,Nonlocal_R,N_Addition,2,NA,NA
260,3,3,13,P21,Nonlocal_R,N_Addition,3,NA,NA
261,3,4,1,P21,Nonlocal_R,N_Addition,4,NA,NA
262,6,4,19,P21,Nonlocal_R,N_Addition,5,0.1849,0.1363
263,7,6,9,P21,Nonlocal_R,N_Addition,6,0.1896,0.1882
264,9,5,8,P21,Nonlocal_R,N_Addition,1,0.0737,0.0467
265,2,1,1,P21,Nonlocal_U,Ambient_N,2,0.0082,0.0075
266,2,6,12,P21,Nonlocal_U,Ambient_N,3,NA,NA
267,4,6,15,P21,Nonlocal_U,Ambient_N,4,0.0298,0.0387
268,5,3,1,P21,Nonlocal_U,Ambient_N,5,0.0127,0.0068
269,8,4,9,P21,Nonlocal_U,Ambient_N,6,0.0188,0.0162
270,9,1,6,P21,Nonlocal_U,Ambient_N,1,0.0109,0.0092
271,1,2,2,P21,Nonlocal_U,N_Addition,2,0.0102,0.0212
272,2,2,4,P21,Nonlocal_U,N_Addition,3,NA,NA
273,4,3,3,P21,Nonlocal_U,N_Addition,4,0.1332,0.1360
274,5,2,1,P21,Nonlocal_U,N_Addition,5,NA,NA
275,5,2,14,P21,Nonlocal_U,N_Addition,6,0.2986,0.2254
276,9,3,20,P21,Nonlocal_U,N_Addition,1,0.0293,0.0426
277,1,1,13,P21,Local,Ambient_N,1,0.0631,0.0912
278,2,1,19,P21,Local,Ambient_N,2,0.2170,0.1741
279,3,2,9,P21,Local,Ambient_N,3,0.0429,0.0363
280,3,6,4,P21,Local,Ambient_N,4,0.0462,0.0251
281,4,6,8,P21,Local,Ambient_N,5,NA,NA
282,5,5,16,P21,Local,Ambient_N,6,0.0206,0.0131
283,6,5,1,P21,Local,N_Addition,2,0.2129,0.4131
284,7,1,13,P21,Local,N_Addition,5,0.0554,0.0475
285,7,6,12,P21,Local,N_Addition,4,NA,NA
286,8,2,8,P21,Local,N_Addition,3,0.0498,0.0654
287,8,2,10,P21,Local,N_Addition,6,NA,NA
288,9,1,20,P21,Local,N_Addition,1,NA,NA
289,2,5,19,P22,Nonlocal_R,Ambient_N,3,NA,NA
290,4,6,14,P22,Nonlocal_R,Ambient_N,4,0.2630,0.0979
291,5,2,10,P22,Nonlocal_R,Ambient_N,5,0.0458,0.0427
292,5,5,18,P22,Nonlocal_R,Ambient_N,6,NA,NA
293,9,1,15,P22,Nonlocal_R,Ambient_N,1,0.1219,0.0576
294,9,6,7,P22,Nonlocal_R,Ambient_N,2,NA,NA
295,1,4,9,P22,Nonlocal_R,N_Addition,1,NA,NA
296,2,4,11,P22,Nonlocal_R,N_Addition,2,NA,NA
297,3,4,9,P22,Nonlocal_R,N_Addition,3,NA,NA
298,3,5,2,P22,Nonlocal_R,N_Addition,4,NA,NA
299,5,2,12,P22,Nonlocal_R,N_Addition,5,NA,NA
300,8,5,16,P22,Nonlocal_R,N_Addition,6,NA,NA
301,2,3,16,P22,Nonlocal_U,Ambient_N,1,NA,NA
302,6,2,2,P22,Nonlocal_U,Ambient_N,2,NA,NA
303,7,6,10,P22,Nonlocal_U,Ambient_N,3,NA,NA
304,7,6,11,P22,Nonlocal_U,Ambient_N,4,NA,NA
305,7,6,19,P22,Nonlocal_U,Ambient_N,5,0.0475,0.0315
306,8,3,2,P22,Nonlocal_U,Ambient_N,6,NA,NA
307,3,5,5,P22,Nonlocal_U,N_Addition,2,0.0461,0.0620
308,4,2,8,P22,Nonlocal_U,N_Addition,3,0.1777,0.1146
309,4,3,12,P22,Nonlocal_U,N_Addition,4,NA,NA
310,6,3,1,P22,Nonlocal_U,N_Addition,5,NA,NA
311,8,4,15,P22,Nonlocal_U,N_Addition,6,NA,NA
312,9,1,14,P22,Nonlocal_U,N_Addition,1,NA,NA
313,1,3,12,P22,Local,Ambient_N,1,0.0382,0.0380
314,2,5,6,P22,Local,Ambient_N,2,NA,NA
315,4,5,20,P22,Local,Ambient_N,3,0.3579,0.2022
316,5,1,3,P22,Local,Ambient_N,5,NA,NA
317,6,1,2,P22,Local,Ambient_N,4,NA,NA
318,7,5,12,P22,Local,Ambient_N,6,NA,NA
319,1,3,16,P22,Local,N_Addition,2,NA,NA
320,1,5,19,P22,Local,N_Addition,3,NA,NA
321,3,5,20,P22,Local,N_Addition,5,NA,NA
322,6,3,19,P22,Local,N_Addition,4,1.2795,0.9919
323,8,6,14,P22,Local,N_Addition,6,NA,NA
324,9,3,15,P22,Local,N_Addition,1,NA,NA
325,1,6,13,P4,Nonlocal_R,Ambient_N,1,0.1319,0.0746
326,3,2,20,P4,Nonlocal_R,Ambient_N,2,0.1354,0.0745
327,4,6,4,P4,Nonlocal_R,Ambient_N,3,0.2056,0.1164
328,5,3,14,P4,Nonlocal_R,Ambient_N,4,0.0897,0.0474
329,5,3,15,P4,Nonlocal_R,Ambient_N,5,0.1081,0.0336
330,6,1,1,P4,Nonlocal_R,Ambient_N,6,0.0459,0.0213
331,1,5,14,P4,Nonlocal_R,N_Addition,2,0.3432,0.2411
332,3,2,6,P4,Nonlocal_R,N_Addition,3,0.2932,0.1041
333,7,3,8,P4,Nonlocal_R,N_Addition,4,0.5537,0.5110
334,8,1,18,P4,Nonlocal_R,N_Addition,5,0.7815,0.4089
335,8,5,10,P4,Nonlocal_R,N_Addition,6,0.0914,0.0573
336,9,1,11,P4,Nonlocal_R,N_Addition,1,0.1835,0.1052
337,1,3,4,P4,Nonlocal_U,Ambient_N,1,0.1534,0.0881
338,2,3,7,P4,Nonlocal_U,Ambient_N,2,NA,NA
339,3,3,2,P4,Nonlocal_U,Ambient_N,3,0.0526,0.0138
340,4,3,20,P4,Nonlocal_U,Ambient_N,4,1.4161,0.4399
341,8,2,16,P4,Nonlocal_U,Ambient_N,5,0.0745,0.0334
342,8,6,12,P4,Nonlocal_U,Ambient_N,6,0.1406,0.0872
343,1,2,9,P4,Nonlocal_U,N_Addition,2,0.1332,0.0765
344,2,2,3,P4,Nonlocal_U,N_Addition,3,0.1796,0.0873
345,2,4,2,P4,Nonlocal_U,N_Addition,4,0.2033,0.1258
346,3,6,19,P4,Nonlocal_U,N_Addition,5,0.8023,0.3721
347,5,5,2,P4,Nonlocal_U,N_Addition,6,0.1546,0.1073
348,9,2,9,P4,Nonlocal_U,N_Addition,1,0.4044,0.2183
349,4,5,16,P4,Local,Ambient_N,2,0.0694,0.0621
350,4,6,19,P4,Local,Ambient_N,3,0.4347,0.2208
351,7,4,11,P4,Local,Ambient_N,4,0.0124,0.0133
352,7,4,17,P4,Local,Ambient_N,5,0.4410,0.0108
353,7,5,1,P4,Local,Ambient_N,6,0.1200,0.0578
354,9,2,17,P4,Local,Ambient_N,1,NA,NA
355,2,6,15,P4,Local,N_Addition,2,NA,NA
356,5,1,20,P4,Local,N_Addition,3,0.2881,0.1334
357,6,2,18,P4,Local,N_Addition,4,0.6928,0.2604
358,6,4,4,P4,Local,N_Addition,5,0.3187,0.0790
359,6,5,19,P4,Local,N_Addition,6,0.5150,0.1859
360,9,5,12,P4,Local,N_Addition,1,0.2081,0.1688
361,2,6,4,P23,Nonlocal_R,Ambient_N,2,0.1108,0.0572
362,4,5,5,P23,Nonlocal_R,Ambient_N,3,0.0076,0.0017
363,6,3,12,P23,Nonlocal_R,Ambient_N,4,NA,NA
364,7,3,6,P23,Nonlocal_R,Ambient_N,5,NA,NA
365,7,4,14,P23,Nonlocal_R,Ambient_N,6,0.0418,0.0243
366,9,2,14,P23,Nonlocal_R,Ambient_N,1,0.0681,0.0940
367,1,3,20,P23,Nonlocal_R,N_Addition,1,0.6001,0.3677
368,2,1,2,P23,Nonlocal_R,N_Addition,2,NA,NA
369,5,5,12,P23,Nonlocal_R,N_Addition,3,0.1635,0.0537
370,5,5,17,P23,Nonlocal_R,N_Addition,4,0.2771,0.2309
371,6,1,12,P23,Nonlocal_R,N_Addition,5,0.9115,0.3469
372,8,1,12,P23,Nonlocal_R,N_Addition,6,NA,NA
373,2,6,20,P23,Nonlocal_U,Ambient_N,1,0.0083,0.0330
374,3,6,12,P23,Nonlocal_U,Ambient_N,2,0.0269,0.0090
375,4,2,2,P23,Nonlocal_U,Ambient_N,3,0.0270,0.0353
376,5,1,15,P23,Nonlocal_U,Ambient_N,4,NA,NA
377,6,6,3,P23,Nonlocal_U,Ambient_N,5,0.1213,0.0979
378,8,1,10,P23,Nonlocal_U,Ambient_N,6,NA,NA
379,3,5,10,P23,Nonlocal_U,N_Addition,2,NA,NA
380,3,6,5,P23,Nonlocal_U,N_Addition,3,0.1355,0.1688
381,4,2,11,P23,Nonlocal_U,N_Addition,4,0.3096,0.2367
382,4,3,2,P23,Nonlocal_U,N_Addition,5,NA,NA
383,7,3,1,P23,Nonlocal_U,N_Addition,6,0.0784,0.0545
384,9,6,1,P23,Nonlocal_U,N_Addition,1,0.4537,0.3425
385,1,2,3,P23,Local,Ambient_N,2,NA,NA
386,1,3,13,P23,Local,Ambient_N,3,0.0779,0.0600
387,6,6,4,P23,Local,Ambient_N,4,NA,NA
388,7,4,19,P23,Local,Ambient_N,5,0.4521,0.2325
389,8,6,19,P23,Local,Ambient_N,6,0.0114,0.0147
390,9,6,3,P23,Local,Ambient_N,1,0.0092,0.0223
391,1,6,4,P23,Local,N_Addition,2,0.1813,0.1781
